video_id,url,title,channel,domain,suggested_snr,signal_level,notes
WONRS7BLh4g,https://www.youtube.com/watch?v=WONRS7BLh4g,How To Actually Achieve Your Goals in 2026 (Evidence-Based),Ali Abdaal,career_selfimprovement,HIGH,,
xJYlhhT7hyE,https://www.youtube.com/watch?v=xJYlhhT7hyE,Core Idea:  Deep Work,Cal Newport,career_selfimprovement,HIGH,,
R5i8alK5hPo,https://www.youtube.com/watch?v=R5i8alK5hPo,4 ONE-MINUTE Habits That Save Me 20+ Hours a Week - Time Management For Busy People,Liam Porritt,career_selfimprovement,HIGH,,
pYL8Mi-3-Cs,https://www.youtube.com/watch?v=pYL8Mi-3-Cs,The Art of Saying No,Matt D'Avella,career_selfimprovement,HIGH,,
q4cjNYGUaoA,https://www.youtube.com/watch?v=q4cjNYGUaoA,How to Be as Productive as Elon Musk - 5 Essential Practices,Thomas Frank,career_selfimprovement,HIGH,,
9z8_YhWoq2o,https://www.youtube.com/watch?v=9z8_YhWoq2o,I quit social media for 30 days,Matt D'Avella,career_selfimprovement,HIGH,,
3iMc8uF46C0,https://www.youtube.com/watch?v=3iMc8uF46C0,I'm 40. If You're In Your 20's or 30's Watch This,Simon Alexander Ong,career_selfimprovement,MID,,
n2AUckK70cc,https://www.youtube.com/watch?v=n2AUckK70cc,4 Life Lessons You Can Learn From Elon Musk,Mark Manson,career_selfimprovement,MID,,
sHNFXyPshUc,https://www.youtube.com/watch?v=sHNFXyPshUc,How to Quit Your 9 to 5 Job (& Make MORE Money),Charlie Chang,career_selfimprovement,MID,,
ZvCGppdE2E0,https://www.youtube.com/watch?v=ZvCGppdE2E0,I QUIT My $120000 Job After Learning 3 Things,Vincent Chan,career_selfimprovement,MID,,
OANvN7jkBm4,https://www.youtube.com/watch?v=OANvN7jkBm4,The Truth About the Software Engineering Job Market in 2025 - Will AI Replace Us All?,Maddy Zhang,career_selfimprovement,MID,,
1osXjNpOzSo,https://www.youtube.com/watch?v=1osXjNpOzSo,MASSIVE LAYOFFS COMING | How To Tell If You're At Risk,Rubberduck Recruiter,career_selfimprovement,MID,,
pZ2uxeIbozk,https://www.youtube.com/watch?v=pZ2uxeIbozk,Discipline Equals Freedom and What It Means For Your Finances - Jocko Willink,Jocko Podcast,career_selfimprovement,MID,,
4N9EPDNi-OQ,https://www.youtube.com/watch?v=4N9EPDNi-OQ,Be Obsessed Or Be Average - Grant Cardone,Grant Cardone,career_selfimprovement,NOISE,,
NcxDPjhDlgg,https://www.youtube.com/watch?v=NcxDPjhDlgg,You Could Become a Millionaire in 3-5 Years,Captain Sinbad,career_selfimprovement,NOISE,,
BsIXkbxrawo,https://www.youtube.com/watch?v=BsIXkbxrawo,YOU OWE IT TO YOU IN 2025 - Powerful Motivational Speech | Alex Hormozi,Motiversity,career_selfimprovement,NOISE,,
egUJJcB5hoA,https://www.youtube.com/watch?v=egUJJcB5hoA,YOU ARE ENOUGH - Powerful Motivational Speech Video (Featuring Lisa Nichols),Motiversity,career_selfimprovement,NOISE,,
W3XNKq8A8nY,https://www.youtube.com/watch?v=W3XNKq8A8nY,5 High End Careers Or 5 High Income Skills (NO DEGREE REQUIRED),Dan Lok,career_selfimprovement,NOISE,,
4vgUqAHn90Y,https://www.youtube.com/watch?v=4vgUqAHn90Y,What Is ClickFunnels & How It Made Me $10M+ (Make Money Online With ClickFunnels),Peng Joon,career_selfimprovement,NOISE,,
diYDsX3BaVA,https://www.youtube.com/watch?v=diYDsX3BaVA,The Truth About Success – No One Tells You This!,Elevate Vibes,career_selfimprovement,NOISE,,
VUVpTZVa7Ls,https://www.youtube.com/watch?v=VUVpTZVa7Ls,Count Vowels Permutation - Dynamic Programming - Leetcode 1220 - Python,NeetCode,tech_ai,HIGH,,
q5ANAl8Z458,https://www.youtube.com/watch?v=q5ANAl8Z458,132 Pattern - Leetcode 456 - Python,NeetCode,tech_ai,HIGH,,
xo7XrRVxH8Y,https://www.youtube.com/watch?v=xo7XrRVxH8Y,8 patterns to solve 80% Leetcode problems,Sahil & Sarra,tech_ai,HIGH,,
usFIb9aEd1U,https://www.youtube.com/watch?v=usFIb9aEd1U,Amazon Bedrock AgentCore: Deploy & Operate AI Agents in Minutes | Amazon Web Services,Amazon Web Services,tech_ai,HIGH,,
uB9yZenVLzg,https://www.youtube.com/watch?v=uB9yZenVLzg,This video will change your mind about the AI hype,NeetCode,tech_ai,HIGH,,
2V7yPrxJ8Ck,https://www.youtube.com/watch?v=2V7yPrxJ8Ck,The LeetCode Fallacy,NeetCode,tech_ai,HIGH,,
xchoFP4apQ4,https://www.youtube.com/watch?v=xchoFP4apQ4,How Google has finally made Android versions irrelevant,TechAltar,tech_ai,MID,,
mRW_PwNKZ_E,https://www.youtube.com/watch?v=mRW_PwNKZ_E,Is Apple Bored of Winning? - M5 MacBook Pro,Dave2D,tech_ai,MID,,
lCuoDBRSoOU,https://www.youtube.com/watch?v=lCuoDBRSoOU,Why Tech Jobs Are Disappearing In The U.S,Economy Media,tech_ai,MID,,
e1Hf-o1SzL4,https://www.youtube.com/watch?v=e1Hf-o1SzL4,'Musk Will Get Richer People Will Get Unemployed': Nobel Laureate Hinton on AI,Bloomberg Television,tech_ai,MID,,
Ks-A3xpADR4,https://www.youtube.com/watch?v=Ks-A3xpADR4,AI Hype is 'Biggest Bubble' in Private Tech Says Jack Selby,Bloomberg Television,tech_ai,MID,,
8wysIxzqgPI,https://www.youtube.com/watch?v=8wysIxzqgPI,My Brain after 569 Leetcode Problems,NeetCode,tech_ai,MID,,
1X8sN-DIlbw,https://www.youtube.com/watch?v=1X8sN-DIlbw,Project Stargate Explained & How You Can Remain Relevant in the AI Era,Maitri Mangal,tech_ai,MID,,
AZN4DrVYWPU,https://www.youtube.com/watch?v=AZN4DrVYWPU,7 Ways To Make Money With AI In 2025!,Maitri Mangal,tech_ai,NOISE,,
u8R7pEU7eUg,https://www.youtube.com/watch?v=u8R7pEU7eUg,TECH CEO EXPLAINS: Why AI Layoffs Will EXPLODE in 2026,Soleyman Shahir,tech_ai,NOISE,,
rf9Sat5n0AQ,https://www.youtube.com/watch?v=rf9Sat5n0AQ,Big Tech's AI Debt Will Crash the Economy,Vanessa Wingårdh,tech_ai,NOISE,,
oONma_591PY,https://www.youtube.com/watch?v=oONma_591PY,think before coming to USA (2024),Yudi J,tech_ai,NOISE,,
J5Ud_RdDtMw,https://www.youtube.com/watch?v=J5Ud_RdDtMw,Brainrot is Ruining You | Documentary Film,Aevy TV,tech_ai,NOISE,,
C3LdrX1Cd84,https://www.youtube.com/watch?v=C3LdrX1Cd84,H1B New Proposed Rule Will DESTROY Entry-Level H1B Jobs | Explained By Lawyer,Yudi J,tech_ai,NOISE,,
PLSDUsi4vY8,https://www.youtube.com/watch?v=PLSDUsi4vY8,Why Your 9-5 Job Won't Exist in 10 Years | The Future Of Work,Aevy TV,tech_ai,NOISE,,
aircAruvnKk,https://www.youtube.com/watch?v=aircAruvnKk,But what is a neural network? | Deep learning chapter 1,3Blue1Brown,general_education,HIGH,,
Unzc731iCUY,https://www.youtube.com/watch?v=Unzc731iCUY,How to Speak,MIT OpenCourseWare,general_education,HIGH,,
tXLoBs0ipsI,https://www.youtube.com/watch?v=tXLoBs0ipsI,It took 20 years but we finally found it,Up and Atom,general_education,HIGH,,
xauCQpnbNAM,https://www.youtube.com/watch?v=xauCQpnbNAM,Russell's Paradox - A Ripple in the Foundations of Mathematics,Up and Atom,general_education,HIGH,,
2MCt3AxCL6I,https://www.youtube.com/watch?v=2MCt3AxCL6I,The Dark Sky Paradox - A Never-Ending Universe,Up and Atom,general_education,HIGH,,
p4VHMsIuPmk,https://www.youtube.com/watch?v=p4VHMsIuPmk,How do airplanes actually fly? - Raymond Adkins,TED-Ed,general_education,HIGH,,
tJevBNQsKtU,https://www.youtube.com/watch?v=tJevBNQsKtU,The Edge of an Infinite Universe,PBS Space Time,general_education,HIGH,,
arj7oStGLkU,https://www.youtube.com/watch?v=arj7oStGLkU,Inside the Mind of a Master Procrastinator | Tim Urban | TED,TED,general_education,MID,,
qp0HIF3SfI4,https://www.youtube.com/watch?v=qp0HIF3SfI4,How Great Leaders Inspire Action | Simon Sinek | TED,TED,general_education,MID,,
F3QpgXBtDeo,https://www.youtube.com/watch?v=F3QpgXBtDeo,How The Stock Exchange Works (For Dummies),Kurzgesagt – In a Nutshell,general_education,MID,,
72hlr-E7KA0,https://www.youtube.com/watch?v=72hlr-E7KA0,How Airlines Price Flights,Wendover Productions,general_education,MID,,
o1Y4Z0oh1GE,https://www.youtube.com/watch?v=o1Y4Z0oh1GE,The quiet power of introverts | BBC Ideas,BBC Ideas,general_education,MID,,
UEl3rUdsWXQ,https://www.youtube.com/watch?v=UEl3rUdsWXQ,How the brain makes memories | Lisa Genova | Big Think,Big Think,general_education,MID,,
RZ5dj-Ozwm0,https://www.youtube.com/watch?v=RZ5dj-Ozwm0,Michio Kaku Explains String Theory | Big Think,Big Think,general_education,MID,,
47YHEVRZuXU,https://www.youtube.com/watch?v=47YHEVRZuXU,What's coming Is WORSE Than the 1929 and 2008 Yield Curve Inversions...,Economy Strategist,general_education,NOISE,,
rmVWId1Wg3k,https://www.youtube.com/watch?v=rmVWId1Wg3k,How America's Debt Spiral Could Spark The Next Crisis,CNBC,general_education,NOISE,,
DBe4yHPbUiw,https://www.youtube.com/watch?v=DBe4yHPbUiw,The Dominoes Falling Toward World War III,William Spaniel,general_education,NOISE,,
_9ZVEDXzVjE,https://www.youtube.com/watch?v=_9ZVEDXzVjE,WARNING: Global Stock Market Crash Begins?,Investing Simplified - Professor G,general_education,NOISE,,
9R_BCfEipZs,https://www.youtube.com/watch?v=9R_BCfEipZs,Who did the Führer Trust? Hitler's Inner Circle,The Armchair Historian,general_education,NOISE,,
cWX0Jt558l0,https://www.youtube.com/watch?v=cWX0Jt558l0,What If the Earth Stopped Spinning?,SciShow Space,general_education,NOISE,,
